csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA
0.5666431	0.0082504	0.5342095	0.4951353	0.6003729	0.1798332	0.6371211	0.2972738	0.5705168	0.6042868
0.6936299	0.0356451	0.0738244	0.4463913	0.3178523	0.1896242	0.6592027	0.1535004	0.5656405	0.6392653
0.6143421	0.2717423	0.0003893	0.0002448	0.0065269	0.2220774	0.5647762	0.0222918	0.0373402	0.0000000
0.1221711	0.0317278	0.1035380	0.0354375	0.4573331	0.1500921	0.7146479	0.2297546	0.6339450	0.7847273
0.6498724	0.0000023	0.0176967	0.1116999	0.2164926	0.0329245	0.3408947	0.0507998	0.4460331	0.4296501
0.4285052	0.3757404	0.1209932	0.6566617	0.1005372	0.6669639	0.6559156	0.1900504	0.5684485	0.7352979
0.8026615	0.5728572	0.3115931	0.2054726	0.5934922	0.3242147	0.6475580	0.4965412	0.6178105	0.6913454
0.7293391	0.0039738	0.2070272	0.6206132	0.2840982	0.6910306	0.4703334	0.2005832	0.5781314	0.4171820
0.6485124	0.0049759	0.3865152	0.3797599	0.4463566	0.5749203	0.6623668	0.6555572	0.6049030	0.5668442
0.5217072	0.0001460	0.2218714	0.6516422	0.2983053	0.2933151	0.6091424	0.3404698	0.4640595	0.4608410
0.5294371	0.4012402	0.3467293	0.5392425	0.4125209	0.1666590	0.7121479	0.4985368	0.5537033	0.6855695
0.8621749	0.0047912	0.6251340	0.6727091	0.4350432	0.2021681	0.6785286	0.3652704	0.5568173	0.3841167
0.6590343	0.0075986	0.5617985	0.5703661	0.5057035	0.2360796	0.7076814	0.0120522	0.6743770	0.1897002
0.0000000	0.6234982	0.5892756	0.4409017	0.4086324	0.3876966	0.5826663	0.0452583	0.3675964	0.2912123
0.7728938	0.6924569	0.4265033	0.5299626	0.4826576	0.1785286	0.6477328	0.6359992	0.5631163	0.0000000
0.6388321	0.0186460	0.5948143	0.5890899	0.4044603	0.2001454	0.7727968	0.3213841	0.7015409	0.6056192
0.4291154	0.0219678	0.3893330	0.5382863	0.7327999	0.6565202	0.0000000	0.5045931	0.6100111	0.6827839
0.7317840	0.1084432	0.1605652	0.5203176	0.6560507	0.1751055	0.7214859	0.4422167	0.6630726	0.5845819
0.7910116	0.0042950	0.3298265	0.2828392	0.4631006	0.2080462	0.4841993	0.0035397	0.4415272	0.3031862
0.7301973	0.6268535	0.0413996	0.0021259	0.0914896	0.5574156	0.8276832	0.1248866	0.4916422	0.5698362
0.6981421	0.2225274	0.2113831	0.2332046	0.2789237	0.7028507	0.2692263	0.4815619	0.5847049	0.5442014
0.5883097	0.6993030	0.2751850	0.6596244	0.5549255	0.6947348	0.0000000	0.5566890	0.5569529	0.0717783
0.3588925	0.0068909	0.1315639	0.0431069	0.3305025	0.5861912	0.4459266	0.3023706	0.6412423	0.6381172
0.6453066	0.0051784	0.3592730	0.4812735	0.5758552	0.6946269	0.0158926	0.7182302	0.6719064	0.5560930
0.7321596	0.2016345	0.3474942	0.4348227	0.4098788	0.2710888	0.6893135	0.6738410	0.5759742	0.6039507
0.7822229	0.0021638	0.1729650	0.1633978	0.5499434	0.2710958	0.3855152	0.3415900	0.5389252	0.8795742
0.7188642	0.6880120	0.2815930	0.3933452	0.5151373	0.1859505	0.6911660	0.2800749	0.6675588	0.5989396
0.3674602	0.0435377	0.3877127	0.3594476	0.3453712	0.6029754	0.8235052	0.6090072	0.5761491	0.7069685
0.3720044	0.0345085	0.6299927	0.5522960	0.6655210	0.6092722	0.5702146	0.0621504	0.4664387	0.4932361
0.7666366	0.0045324	0.2145467	0.2663860	0.3257700	0.1747411	0.6617225	0.3931737	0.4011139	0.4293951
0.7112066	0.7095951	0.6953543	0.6223075	0.6573918	0.2272406	0.5247696	0.1838638	0.4715722	0.6310167
0.2471929	0.6291035	0.6371492	0.4836524	0.5700348	0.7009276	0.6945874	0.1466798	0.5520280	0.3335440
0.2812593	0.0891455	0.6028372	0.4545520	0.4361599	0.3386188	0.7925245	0.0606573	0.4409834	0.1377232
0.2412136	0.3201973	0.5234908	0.6757636	0.4145030	0.2101457	0.7313974	0.7338115	0.7103929	0.6289104
0.6818156	0.6781438	0.2773912	0.2572193	0.3693771	0.5355049	0.5181555	0.4634278	0.0000000	0.0000000
0.6106237	0.0015656	0.0627834	0.6503391	0.1961585	0.4852164	0.6763328	0.2630158	0.5739772	0.6631997
0.0958441	0.7095233	0.0314732	0.0043783	0.0283082	0.0732528	0.4815294	0.0437860	0.7107309	0.3340413
